Path,RGB_5,P-5,RGB_4,P-4,RGB_3,P-3,RGB_2,P-2,RGB_1,P-1
E:/Organized Photos/2003/2003-03-16 19-16-44.jpg,"[166.0718632793149, 11.536075699829171, 20.27770757301573]",0.063930199,"[44.140242273091516, 58.275920967834836, 104.30378184942785]",0.123351797,"[195.44159729081437, 164.3995086280595, 156.16335626955745]",0.195433125,"[62.27152061665613, 27.375289738245705, 21.234013199470407]",0.283090894,"[105.38649516305999, 77.33313873820485, 65.7731404145169]",0.334193984
E:/Organized Photos/2003/2003-03-16 19-17-27.jpg,"[148.86502571119848, 5.888505166674823, 14.389197495669556]",0.116428102,"[42.55659296812652, 38.57418204008826, 74.97875886025443]",0.136632737,"[45.76744199815859, 23.65269648984133, 20.54187944616647]",0.213974059,"[101.483108302902, 76.22723669037113, 66.93239957716693]",0.262381544,"[186.49894807216688, 155.8240381873178, 148.5042661517677]",0.270583559
E:/Organized Photos/2003/2003-03-16 19-18-05.jpg,"[114.56349206349206, 9.324829931972788, 12.537981859410431]",0.147007817,"[34.62057702776266, 74.32716385410995, 118.56287425149702]",0.147464489,"[143.20068463842537, 86.2105263157895, 75.75524176294395]",0.194889149,"[163.35085122131755, 138.48075499629908, 132.18911917098447]",0.214488589,"[34.612664473684205, 18.873081140350877, 24.487116228070175]",0.296149956
E:/Organized Photos/2003/2003-03-16 19-18-19.jpg,"[158.9444444444445, 8.337059620596206, 17.744918699186986]",0.121092717,"[191.26042944785277, 174.86748466257663, 171.24754601226994]",0.137026384,"[167.56577199043312, 111.83470635131543, 101.17379750199305]",0.154902973,"[36.6318793314309, 33.42172849571953, 69.60476966979212]",0.200418547,"[81.32563176895303, 68.74368231046934, 55.003506962351736]",0.38655938
E:/Organized Photos/2003/2003-03-16 19-18-48.jpg,"[186.7698209718671, 175.04667519181586, 177.0326086956522]",0.063491092,"[146.70011025358323, 80.10198456449838, 68.28445424476295]",0.071284736,"[101.41209185504127, 83.19483315392895, 74.89756010046645]",0.204638113,"[22.23639644641865, 18.504997223764576, 19.658106607440306]",0.279091915,"[123.76810673443455, 109.90374841168997, 104.71579839051255]",0.381494144
E:/Organized Photos/2003/2003-03-16 19-18-56.jpg,"[83.27139263147323, 121.67357326736001, 161.73870398849903]",0.070604636,"[162.10015858365693, 116.38255487708021, 103.43280218932894]",0.127573171,"[212.37999843766116, 177.94253801923296, 159.71940675767345]",0.211818298,"[99.49839887098824, 50.66120299382142, 43.15575962836296]",0.248095823,"[35.52196385768464, 19.096629083759346, 22.3748098022288]",0.341908073
E:/Organized Photos/2003/2003-03-16 19-19-31.jpg,"[69.83748563941393, 103.05214910323481, 140.30652848855428]",0.075216558,"[99.22776230990266, 67.26867884623205, 52.58892672664038]",0.096035943,"[167.46712645708237, 7.290801836806774, 15.407453196750248]",0.203271197,"[197.92174987433015, 152.63681733798472, 123.64498340160152]",0.287995985,"[48.54903843381191, 28.668088519411334, 43.660346648695885]",0.337480318
E:/Organized Photos/2003/2003-03-28 11-53-29.jpg,"[152.10206718346257, 148.09819121447032, 139.03488372093025]",0.059815502,"[91.09979838709677, 86.38508064516128, 79.17237903225806]",0.075116596,"[188.65689981096412, 189.56710775047262, 183.36767485822307]",0.161801612,"[240.17278966491722, 242.2389987888575, 232.37706903512313]",0.18883902,"[29.01567668632245, 30.912124262908097, 35.28692650654393]",0.514427269
E:/Organized Photos/2003/2003-03-28 11-53-42.jpg,"[139.03510599048175, 129.21556301751775, 117.08101885364931]",0.091166497,"[82.49338940407549, 74.36302492919646, 64.77948118001503]",0.094381798,"[243.4033953566807, 243.4119695494849, 243.33881967271253]",0.144841725,"[192.7435403222585, 190.53213979703727, 182.5139882198973]",0.245872646,"[29.643754688481444, 29.85916258891603, 33.325931038408505]",0.423737333
E:/Organized Photos/2003/2003-03-28 11-54-35.jpg,"[139.96946803522164, 136.68032852886708, 131.975900304562]",0.089377779,"[86.66136169397025, 79.62341350032376, 74.18489260924775]",0.106402758,"[235.64348882090397, 236.44547518010455, 233.84752513788806]",0.153927637,"[196.1332511105807, 195.4744085274274, 190.0205690886484]",0.294700126,"[32.746638180218696, 32.78826549848295, 37.743744052855575]",0.3555917
E:/Organized Photos/2003/2003-05-03 18-00-00.jpg,"[129.75338776457843, 91.14321092752397, 75.71956042255138]",0.103628889,"[65.99187033968497, 47.40281394247835, 42.53516688365475]",0.107926978,"[182.49222564843913, 161.3376921479819, 148.71633613497033]",0.203368834,"[163.95502947506273, 128.7552877327594, 112.20586881257586]",0.213526427,"[16.521446751279015, 9.701222366931422, 8.193550652468153]",0.371548872
E:/Organized Photos/2003/2003-05-03 18-00-43.jpg,"[160.68667379191047, 0.2357923431645697, 7.404523729464922]",0.138414222,"[171.4160207396007, 135.86278080829217, 124.38337276888045]",0.170696642,"[21.580975197774823, 13.867694525329012, 13.24478043998753]",0.224325634,"[104.60985309520129, 95.92484848574325, 99.47057807551266]",0.224829316,"[84.5168568101484, 45.366711662103086, 35.20757749697218]",0.241734186
E:/Organized Photos/2003/2003-05-03 18-01-18.jpg,"[69.89095461873572, 33.316536891572085, 23.5914657153638]",0.113876112,"[62.79557260639565, 61.43501882476288, 75.15586427107658]",0.169060062,"[27.005328448921833, 17.32428607110151, 16.44904670718508]",0.195720354,"[129.43833402247884, 81.50830733375932, 60.78040070668726]",0.214365381,"[178.29044112838872, 164.42331585211136, 151.00232792330925]",0.306978092
E:/Organized Photos/2003/2003-05-03 18-03-32.jpg,"[249.39977090492548, 248.9091256204659, 248.74264986636126]",0.039349728,"[97.54034383235036, 53.832099385117324, 34.56443719412723]",0.118874707,"[163.51318032786884, 127.26826229508198, 113.83849180327874]",0.231574268,"[24.34208806227345, 11.044922455285521, 8.859409352902729]",0.255200068,"[205.54995186874834, 185.73749633783964, 151.9738835642239]",0.35500123
