Path,RGB_5,P_5,RGB_4,P_4,RGB_3,P_3,RGB_2,P_2,RGB_1,P_1
E:/Organized Photos/2015/2015-08-31 22-11-29.JPG,"[180.7000715819613, 109.19613457408732, 76.05511811023624]",0.11781195,"[223.8709315375982, 204.30359147025814, 185.57463524130193]",0.141044509,"[115.32661628883291, 93.52896725440807, 78.25020990764062]",0.196668684,"[164.56490384615378, 145.2119391025641, 123.06209935897434]",0.208658396,"[54.927440321437, 44.77735759867644, 37.170408886787996]",0.335816461
E:/Organized Photos/2015/2015-09-03 21-37-27.JPG,"[248.04190675746472, 244.4769512833945, 237.40806705081192]",0.092560244,"[170.3413014608234, 113.59157310153324, 100.68646625618734]",0.196154269,"[59.99781021897811, 36.33660062565174, 36.31970802919707]",0.229675121,"[219.7614541832669, 179.73227091633467, 161.13515936254984]",0.235449219,"[107.05822686043109, 67.32995220910952, 61.43450697356871]",0.246161147
E:/Organized Photos/2015/2015-09-04 15-49-38.JPG,"[221.9637421665174, 219.50492390331243, 160.90107430617726]",0.095013659,"[247.57234933934905, 228.55204640670325, 19.813728649693843]",0.123571345,"[166.77112387202624, 162.97145200984409, 104.43248564397045]",0.238524207,"[54.425237280224074, 54.86292204761165, 17.52746226855454]",0.24793782,"[116.29040175687896, 111.9367006846661, 57.86668389097018]",0.294952969
E:/Organized Photos/2015/2015-09-04 15-49-55.JPG,"[247.77897350993376, 227.6920529801324, 18.83526490066225]",0.030071817,"[209.9260194174758, 206.49922330097093, 145.25262135922333]",0.129541648,"[38.17950708325249, 41.54822433533865, 10.006889190762662]",0.262738115,"[99.02589914889722, 98.50425551386473, 45.14871419419788]",0.28307159,"[152.8958572564262, 150.32011306421697, 87.45950004416574]",0.29457683
E:/Organized Photos/2015/2015-09-04 17-05-43.JPG,"[158.8712438366361, 163.77300213973402, 176.01832728625934]",0.067330729,"[90.40756647744244, 58.776927098894504, 74.88695100089637]",0.168977865,"[130.73485543126102, 102.84613973959283, 121.32382786233872]",0.201529948,"[27.32453969376377, 33.78729364410238, 38.04492915227503]",0.232307943,"[253.73579610103928, 254.48310323901995, 254.61947204733372]",0.329853516
E:/Organized Photos/2015/2015-09-04 17-06-43.JPG,"[196.3773528601602, 188.11188136993852, 203.30963639702523]",0.137011719,"[171.19311592712924, 116.85438170826997, 142.23397211827117]",0.150748698,"[43.96357239107649, 55.06084743225034, 63.23295403503523]",0.209488932,"[94.24731280037207, 93.16610252700127, 97.0823084078342]",0.238069661,"[252.62488255191195, 253.14758526731194, 253.99114441416876]",0.26468099
E:/Organized Photos/2015/2015-09-04 17-06-49.JPG,"[147.50428921568624, 87.49203431372551, 116.3517156862745]",0.130104167,"[79.36784140969164, 97.63325991189429, 100.51982378854626]",0.157457682,"[175.9028846153846, 162.7033653846154, 180.3403846153846]",0.165634766,"[43.82766990291262, 51.599514563106794, 58.53236245954693]",0.201425781,"[251.84561567164178, 252.97784514925374, 253.75909514925374]",0.345377604
E:/Organized Photos/2015/2015-09-04 17-16-27.JPG,"[239.96161825726145, 200.33506224066397, 163.78526970954366]",0.030435259,"[86.58477157360409, 79.4741116751269, 70.24060913705584]",0.065472364,"[115.68776294128406, 138.6493506493506, 176.35046643497338]",0.181352024,"[165.22010489510487, 177.3534965034965, 194.9337412587413]",0.187518022,"[16.76119043315862, 17.573950237966137, 17.459907223326702]",0.53522233
E:/Organized Photos/2015/2015-09-04 20-43-24.JPG,"[65.10233097783029, 19.90346210442915, 9.958559046587256]",0.087488136,"[130.10657546749923, 93.55635981401106, 53.972045472399145]",0.19404571,"[213.46694643583814, 178.35294505575797, 130.84831503145327]",0.224521143,"[227.2721386723879, 98.9202118093077, 31.270776268062516]",0.225395831,"[244.54500483880005, 223.75831460464445, 187.49959476716379]",0.268549181
E:/Organized Photos/2015/2015-09-04 21-29-27.JPG,"[230.64032973571292, 230.91279477002004, 208.64259299706902]",0.038874271,"[193.23792129210958, 160.9419159136579, 109.27151260975008]",0.180985203,"[63.9082224032689, 45.03425779338318, 51.38948266602333]",0.204932448,"[136.1733205341077, 105.68886121488858, 65.16196958166157]",0.250179844,"[33.435223690975185, 20.921036812133448, 23.266133626904487]",0.325028234
E:/Organized Photos/2015/2015-09-04 21-43-24.JPG,"[232.6160058596101, 208.09341514372963, 194.87915756105753]",0.079427584,"[89.20141703727323, 66.1132159209231, 54.235784655503174]",0.143406507,"[147.64566254196674, 93.87139683453225, 62.507888345323515]",0.239986574,"[48.102421898514876, 33.65141021707097, 23.089361471520732]",0.258877921,"[200.40572212138025, 158.51118988013025, 121.96014762272374]",0.278301415
E:/Organized Photos/2015/2015-09-05 01-07-52.JPG,"[229.4506625650734, 209.35433033601515, 190.8268338854708]",0.077009518,"[61.23132231404963, 49.707388429752186, 45.171041322314075]",0.107148162,"[137.76145818087645, 118.70533532981317, 101.51002555644357]",0.168269971,"[179.40467221390512, 153.59658113706797, 125.32058628973273]",0.258749175,"[25.484142587246968, 17.76776826215798, 14.918219481553225]",0.388823173
E:/Organized Photos/2015/2015-09-05 01-10-54.JPG,"[217.2868753398997, 194.83962777207088, 176.465345338087]",0.068142055,"[71.19888799286952, 51.08270729878473, 44.27323401666592]",0.143635838,"[120.50090882748094, 94.79469718922041, 78.41941729669924]",0.155343585,"[161.67569830800116, 136.49258388299387, 117.56827071981644]",0.177255722,"[25.076529466203038, 16.20294347556539, 13.990130012489123]",0.455622799
E:/Organized Photos/2015/2015-09-05 10-31-11.JPG,"[228.00833151052217, 229.12495966353345, 226.04278913936557]",0.119084056,"[159.5875530781551, 157.17502452997547, 148.42540278808627]",0.15341305,"[119.168325562043, 121.16919918442241, 106.13759404396883]",0.174380547,"[75.6577497890257, 90.17085943415502, 58.488336675650004]",0.255812568,"[39.1416369076343, 45.571512160988306, 31.87936604643769]",0.297309779
E:/Organized Photos/2015/2015-09-05 11-34-12.JPEG,"[117.33176921773293, 168.64649809378992, 109.07809703497645]",0.149859729,"[217.9508160454085, 148.18073638527272, 99.23182499312972]",0.156770508,"[67.88635495084138, 100.68121810064225, 69.39268047284449]",0.17969163,"[216.92338728733014, 203.29376037192725, 149.5168995206403]",0.198435047,"[6.821338023808349, 17.92506238738769, 41.0035676535628]",0.315243086
E:/Organized Photos/2015/2015-09-05 12-29-45.JPG,"[234.92422071441624, 213.02427479468898, 182.45877912389957]",0.096367057,"[148.57811066278776, 134.25638208587074, 110.1047878184312]",0.110181105,"[96.51636666513706, 78.43785824016533, 50.226182344412784]",0.196491559,"[240.0432339613982, 140.09326071523103, 51.24739776713346]",0.227839052,"[31.08370223087446, 28.35888163836387, 17.78801102105298]",0.369121226
E:/Organized Photos/2015/2015-09-05 12-43-44.JPG,"[218.2825992845588, 220.2161817311856, 216.09141242680388]",0.099718035,"[188.4297570496849, 160.2587238364251, 117.87044765698136]",0.144245158,"[133.0218269362421, 114.42606453379572, 83.18659577381219]",0.201466219,"[38.82940380921199, 30.205681945437448, 20.81002179399934]",0.260517991,"[80.56809652524782, 71.67653856700757, 57.27461119598864]",0.294052597
E:/Organized Photos/2015/2015-09-05 12-44-22.JPG,"[202.15946137491142, 200.12331679659817, 194.84337349397586]",0.098641065,"[161.68798751950087, 143.9963598543942, 114.45657826313057]",0.141012874,"[118.62261268143621, 95.48433919022155, 68.50343773873185]",0.202434529,"[38.367404883588854, 27.63060760931289, 19.350936967632027]",0.266834012,"[70.7558624283481, 64.5273579989578, 56.75403856175091]",0.29107752
E:/Organized Photos/2015/2015-09-05 13-44-37.JPG,"[231.59670164917537, 202.47976011994, 169.72863568215888]",0.054121312,"[165.92303897385298, 145.03354711396153, 126.67143561914158]",0.168489759,"[107.70583775587568, 98.05003790750568, 92.82145564821835]",0.213797227,"[22.581053351573193, 21.919288645690834, 22.730164158686726]",0.239357183,"[55.631200396825385, 54.5642361111111, 59.27232142857141]",0.324234519
