"YEAR","THEME","TOTAL_SETS","TOTAL_PIECES","MEAN_PIECES","TOTAL_PRICE","MEAN_PRICE","MEAN_VALNEW","MEAN_VALUSED","PPP"
1988,"Space",12,1515,126.25,34.95,34.95,315.756363636364,65.8,0.0230693069306931
1988,"Technic",5,1891,378.2,8.25,8.25,328.015,56.676,0.00436277102062401
1988,"Town",21,2748,130.857142857143,185,18.5,206.8375,50.1771428571429,0.0673216885007278
1989,"Assorted",1,159,159,0,NA,662,215.93,0
1989,"Basic",16,1944,102.315789473684,6.9,1.725,13.1914285714286,5.17153846153846,0.00354938271604938
1989,"Castle",3,574,191.333333333333,59.5,29.75,821.225,174.726666666667,0.103658536585366
1989,"Dacta",1,32,32,0,NA,NA,NA,0
1989,"Duplo",17,378,22.2352941176471,178.3,25.4714285714286,51.735,23.5622222222222,0.471693121693122
1989,"Fabuland",3,108,36,0,NA,285.265,50.33,0
1989,"Pirates",12,2331,194.25,317.5,31.75,888.682727272727,121.801818181818,0.136207636207636
1989,"Service Packs",28,380,13.5714285714286,21.75,4.35,17.3214285714286,5.692,0.0572368421052632
1989,"Space",12,1651,137.583333333333,146,18.25,565.536666666667,68.8516666666667,0.0884312537855845
1989,"Technic",6,2121,303,0,NA,219.174285714286,52.8685714285714,0
1989,"Town",23,2568,111.652173913043,159.49,14.4990909090909,174.134444444444,68.2236363636364,0.0621066978193146
1990,"Assorted",1,150,150,10,10,225,135,0.0666666666666667
1990,"Basic",8,6513,283.173913043478,12.25,12.25,96.9578571428572,30.7814285714286,0.00188085367726086
1990,"Castle",7,1186,148.25,133,22.1666666666667,670.107142857143,117.58125,0.112141652613828
1990,"Dacta",2,484,242,6.75,6.75,161.88,115.375,0.0139462809917355
1990,"Duplo",21,471,22.4285714285714,115.75,38.5833333333333,22.1171428571429,32.86,0.245753715498938
1990,"Model Team",1,1012,1012,80,80,547.65,132.27,0.0790513833992095
1990,"Service Packs",15,244,16.2666666666667,14,7,11.174,NA,0.0573770491803279
1990,"Space",8,1186,148.25,143.3,20.4714285714286,367.71375,68.01,0.120826306913997
1990,"Technic",7,1688,241.142857142857,91,45.5,113.081428571429,48.2971428571429,0.0539099526066351
1990,"Town",27,3806,135.928571428571,330,33,262.5236,66.6896,0.0867052023121387
1991,"Assorted",1,158,158,0,NA,450,100,0
1991,"Basic",10,1510,151,15,15,16.146,15.895,0.00993377483443709
1991,"Boats",3,646,215.333333333333,105.75,35.25,214.216666666667,50.2466666666667,0.163699690402477
1991,"Castle",1,33,33,0,NA,NA,17.11,0
1991,"Dacta",7,4256,608,0,NA,150,104.913333333333,0
1991,"Duplo",32,846,25.6363636363636,56.5,9.41666666666667,34.11875,22.9269230769231,0.0667848699763593
1991,"Model Team",1,525,525,49.5,49.5,345.03,89.7,0.0942857142857143
1991,"Pirates",5,701,140.2,107,26.75,456.412,81.536,0.152639087018545
1991,"Service Packs",19,339,17.8421052631579,61,5.54545454545455,25.1,20.245,0.179941002949853
1991,"Space",13,1521,117,120.93,30.2325,230.259166666667,59.1023076923077,0.0795069033530572
1991,"Technic",6,1378,229.666666666667,39.75,19.875,89.185,27.5883333333333,0.0288461538461538
1991,"Town",22,3700,168.181818181818,250.74,22.7945454545455,189.695454545455,50.5786363636364,0.0677675675675676
1991,"Trains",12,2730,227.5,508.96,46.2690909090909,323.046666666667,112.918333333333,0.186432234432234
1992,"Assorted",1,160,160,12,12,49,114.4,0.075
1992,"Basic",12,2085,160.384615384615,18,18,27.3811111111111,13.2022222222222,0.00863309352517986
1992,"Castle",9,1217,135.222222222222,144.5,24.0833333333333,224.59,80.3955555555556,0.11873459326212
1992,"Dacta",6,807,134.5,45.7,22.85,72.15,49.99,0.0566294919454771
1992,"Duplo",15,555,34.6875,117.5,29.375,71.845,42.298,0.211711711711712
1992,"Pirates",8,1206,134,162.25,32.45,359.27375,94.2155555555556,0.134535655058043
1992,"Service Packs",7,36,5.14285714285714,12.5,3.125,9.69,7.52,0.347222222222222
1992,"Space",5,877,146.166666666667,119,29.75,414.635,59.145,0.135689851767389
1992,"Technic",6,2286,381,306.25,51.0416666666667,178.721666666667,55.36,0.133967629046369
1992,"Town",27,3631,134.481481481481,364.5,19.1842105263158,127.61,38.8544444444444,0.100385568713853
1993,"Assorted",1,156,156,10,10,180,80,0.0641025641025641
1993,"Basic",9,2411,241.1,32,16,30.22,26.415,0.0132725010369141
